canonical_smiles,pIC50,activite,tsne1,tsne2,pca1,pca2
C#CC(=O)NCCn1cc(-c2ncnc3cc(OC)c(OC)cc23)c(-c2cccc(OC)c2)n1,0.5810292757123542,inactif,28.789782,-8.259406,0.878901735365869,-0.18455389642582765
C#CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.10790539730952,actif,17.83514,55.152245,1.5222325089126316,0.8308928764429256
C#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.667561540084394,actif,22.696463,49.618282,1.8239735091734615,0.98888004929765
C#CCCC(=O)N1CCN(c2ccc(Nc3ncc(Cl)c(Oc4cccc(NC(=O)CCCCc5cc5=O)c4)n3)c(OC)c2)CC1,6.6777807052660805,actif,6.8459415,-97.91438,0.0031697965408144127,-1.6027105504934203
C#CCCCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,7.485452247339714,actif,73.42888,7.7834883,3.118082341055541,2.263846332431266
C#CCCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,7.059981844992337,actif,73.41557,7.792761,3.112873513018186,2.263634431474018
C#CCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,8.596879478824182,actif,73.394714,7.8418503,3.1067049868550556,2.2457469053514427
C#CCCCOc1cc2c(Nc3cccc(Cl)c3)ncnc2cc1OC,7.752026733638194,actif,35.142788,9.206745,2.7965046546057013,1.6024944419821128
C#CCCN1CCN(c2ccc(Nc3nc(OC4CCN(C(=O)C=C)CC4)c4c(-c5cncc(NC)n5)c[nH]c4n3)cc2)CC1,5.522878745280337,intermediaire,-26.387455,-59.984234,-1.2577593496028938,-1.540330165194735
C#CCCn1cc(Nc2nc(OC[C@H]3CN(C(=O)C=C)C[C@@H]3OC)c3c(Cl)c[nH]c3n2)cn1,5.676129393459491,intermediaire,-28.664314,-56.982975,-0.756120344573335,-0.9291199009577396
C#CCN(C)CCN(C)c1cc(OC)c(Nc2nccc(Nc3ccn(C)n3)n2)cc1NC(=O)C=C,7.650916831220409,actif,56.79688,-66.18078,-0.012811459977201638,-2.8462045862356433
C#CCN(C)CCN(C)c1cc(OC)c(Nc2nccc(Nc3cn(C)c4ccccc34)n2)cc1NC(=O)C=C,8.01890657685407,actif,53.56034,-79.269646,-0.15191035182483212,-2.78548430858068
C#CCN1CCN(c2ccc(Nc3ncc4c(C)cc(=O)n(-c5cccc(NC(=O)C=C)c5)c4n3)c(OC)c2)CC1,8.094743951251548,actif,10.87915,-75.58178,-0.16415118150405708,-2.725747926715177
C#CCN1CCOC(COc2cc3ncnc(Nc4ccc(Cl)c(Cl)c4)c3cc2OC)C1,7.301029995663981,actif,99.043,-16.53414,2.856566437615129,1.8942817425905858
C#CCNC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,6.518557371497695,actif,73.953186,40.016834,2.7815013544278226,1.7235164368365483
C#CCNC(=O)c1cc(Nc2cc(C3CC3)[nH]n2)nc(N2CCN(Cc3ccc(S(=O)(=O)F)cc3)CC2)n1,6.61261017366127,actif,-23.694668,-21.669514,-0.771781164804775,-0.4941149191537645
C#CCNC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC,7.521217132493401,actif,-2.324649,90.61743,0.3414590499740902,1.9734807173414584
C#CCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,7.829738284605042,actif,72.44425,8.437905,2.976762249184946,2.194067833911254
C#CCOc1cc2c(Nc3cccc(Cl)c3)ncnc2cc1OC,7.586700235918748,actif,34.926613,9.039701,2.6665619169355925,1.5508153705419228
C#CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,7.958607314841775,actif,88.07108,36.414967,2.9488081157298707,0.9706031241191931
C#CCOc1cccc(Nc2ncc(C)c(Nc3cccc(NC(=O)C=C)c3)n2)c1,7.259637310505756,actif,23.835901,-50.78597,-0.036090401987094935,-1.4945516658357672
